	sub_rate	variable	value	set
10403	0.05	487	0.7987	"MinTEs RTs on
the test set"
10404	0.15	487	0.8038	"MinTEs RTs on
the test set"
10405	0.25	487	0.848	"MinTEs RTs on
the test set"
10406	0.5	487	0.8075	"MinTEs RTs on
the test set"
10407	0.75	487	0.8238	"MinTEs RTs on
the test set"
10408	1	487	0.8072	"MinTEs RTs on
the test set"
10409	Dynamic SR	488	0.8485	"MinTEs RTs on
the test set"
10410	0.05	488	0.8175	"MinTEs RTs on
the test set"
10411	0.15	488	0.8198	"MinTEs RTs on
the test set"
10412	0.25	488	0.8254	"MinTEs RTs on
the test set"
10413	0.5	488	0.7936	"MinTEs RTs on
the test set"
10414	0.75	488	0.7949	"MinTEs RTs on
the test set"
10415	1	488	0.7882	"MinTEs RTs on
the test set"
10416	Dynamic SR	489	0.8128	"MinTEs RTs on
the test set"
10417	0.05	489	0.8208	"MinTEs RTs on
the test set"
10418	0.15	489	0.8027	"MinTEs RTs on
the test set"
10419	0.25	489	0.8206	"MinTEs RTs on
the test set"
10420	0.5	489	0.8249	"MinTEs RTs on
the test set"
10421	0.75	489	0.8235	"MinTEs RTs on
the test set"
10422	1	489	0.7975	"MinTEs RTs on
the test set"
10423	Dynamic SR	490	0.8266	"MinTEs RTs on
the test set"
10424	0.05	490	0.8189	"MinTEs RTs on
the test set"
10425	0.15	490	0.8311	"MinTEs RTs on
the test set"
10426	0.25	490	0.8517	"MinTEs RTs on
the test set"
10427	0.5	490	0.841	"MinTEs RTs on
the test set"
10428	0.75	490	0.8232	"MinTEs RTs on
the test set"
10429	1	490	0.8255	"MinTEs RTs on
the test set"
10430	Dynamic SR	491	0.8449	"MinTEs RTs on
the test set"
10431	0.05	491	0.8433	"MinTEs RTs on
the test set"
10432	0.15	491	0.8471	"MinTEs RTs on
the test set"
10433	0.25	491	0.8058	"MinTEs RTs on
the test set"
10434	0.5	491	0.8347	"MinTEs RTs on
the test set"
10435	0.75	491	0.8101	"MinTEs RTs on
the test set"
10436	1	491	0.8418	"MinTEs RTs on
the test set"
10437	Dynamic SR	492	0.8382	"MinTEs RTs on
the test set"
10438	0.05	492	0.7908	"MinTEs RTs on
the test set"
10439	0.15	492	0.8353	"MinTEs RTs on
the test set"
10440	0.25	492	0.8155	"MinTEs RTs on
the test set"
10441	0.5	492	0.81	"MinTEs RTs on
the test set"
10442	0.75	492	0.8329	"MinTEs RTs on
the test set"
10443	1	492	0.8144	"MinTEs RTs on
the test set"
10444	Dynamic SR	493	0.8177	"MinTEs RTs on
the test set"
10445	0.05	493	0.8467	"MinTEs RTs on
the test set"
10446	0.15	493	0.8216	"MinTEs RTs on
the test set"
10447	0.25	493	0.8303	"MinTEs RTs on
the test set"
10448	0.5	493	0.8234	"MinTEs RTs on
the test set"
10449	0.75	493	0.8046	"MinTEs RTs on
the test set"
10450	1	493	0.8222	"MinTEs RTs on
the test set"
10451	Dynamic SR	494	0.8133	"MinTEs RTs on
the test set"
10452	0.05	494	0.8107	"MinTEs RTs on
the test set"
10453	0.15	494	0.812	"MinTEs RTs on
the test set"
10454	0.25	494	0.8373	"MinTEs RTs on
the test set"
10455	0.5	494	0.8003	"MinTEs RTs on
the test set"
10456	0.75	494	0.8124	"MinTEs RTs on
the test set"
10457	1	494	0.8306	"MinTEs RTs on
the test set"
10458	Dynamic SR	495	0.8425	"MinTEs RTs on
the test set"
10459	0.05	495	0.8419	"MinTEs RTs on
the test set"
10460	0.15	495	0.8649	"MinTEs RTs on
the test set"
10461	0.25	495	0.8402	"MinTEs RTs on
the test set"
10462	0.5	495	0.8508	"MinTEs RTs on
the test set"
10463	0.75	495	0.8182	"MinTEs RTs on
the test set"
10464	1	495	0.8109	"MinTEs RTs on
the test set"
10465	Dynamic SR	496	0.8416	"MinTEs RTs on
the test set"
10466	0.05	496	0.8229	"MinTEs RTs on
the test set"
10467	0.15	496	0.8191	"MinTEs RTs on
the test set"
10468	0.25	496	0.8164	"MinTEs RTs on
the test set"
10469	0.5	496	0.8119	"MinTEs RTs on
the test set"
10470	0.75	496	0.7947	"MinTEs RTs on
the test set"
10471	1	496	0.8239	"MinTEs RTs on
the test set"
10472	Dynamic SR	497	0.8315	"MinTEs RTs on
the test set"
10473	0.05	497	0.8121	"MinTEs RTs on
the test set"
10474	0.15	497	0.8384	"MinTEs RTs on
the test set"
10475	0.25	497	0.8238	"MinTEs RTs on
the test set"
10476	0.5	497	0.7991	"MinTEs RTs on
the test set"
10477	0.75	497	0.8467	"MinTEs RTs on
the test set"
10478	1	497	0.8213	"MinTEs RTs on
the test set"
10479	Dynamic SR	498	0.8188	"MinTEs RTs on
the test set"
10480	0.05	498	0.8132	"MinTEs RTs on
the test set"
10481	0.15	498	0.8165	"MinTEs RTs on
the test set"
10482	0.25	498	0.8153	"MinTEs RTs on
the test set"
10483	0.5	498	0.825	"MinTEs RTs on
the test set"
10484	0.75	498	0.8329	"MinTEs RTs on
the test set"
10485	1	498	0.8057	"MinTEs RTs on
the test set"
10486	Dynamic SR	499	0.838	"MinTEs RTs on
the test set"
10487	0.05	499	0.8226	"MinTEs RTs on
the test set"
10488	0.15	499	0.8525	"MinTEs RTs on
the test set"
10489	0.25	499	0.8252	"MinTEs RTs on
the test set"
10490	0.5	499	0.8219	"MinTEs RTs on
the test set"
10491	0.75	499	0.8396	"MinTEs RTs on
the test set"
10492	1	499	0.8355	"MinTEs RTs on
the test set"
10493	Dynamic SR	500	0.8244	"MinTEs RTs on
the test set"
10494	0.05	500	0.8035	"MinTEs RTs on
the test set"
10495	0.15	500	0.8276	"MinTEs RTs on
the test set"
10496	0.25	500	0.8156	"MinTEs RTs on
the test set"
10497	0.5	500	0.8261	"MinTEs RTs on
the test set"
10498	0.75	500	0.8092	"MinTEs RTs on
the test set"
10499	1	500	0.8229	"MinTEs RTs on
the test set"
10500	Dynamic SR	501	0.8514	"MinTEs RTs on
the test set"
10501	0.05	501	0.8309	"MinTEs RTs on
the test set"
10502	0.15	501	0.8493	"MinTEs RTs on
the test set"
10503	0.25	501	0.8207	"MinTEs RTs on
the test set"
10504	0.5	501	0.8013	"MinTEs RTs on
the test set"
10505	0.75	501	0.8584	"MinTEs RTs on
the test set"
10506	1	501	0.8367	"MinTEs RTs on
the test set"
10507	Dynamic SR	502	0.8676	"MinTEs RTs on
the test set"
10508	0.05	502	0.846	"MinTEs RTs on
the test set"
10509	0.15	502	0.8285	"MinTEs RTs on
the test set"
10510	0.25	502	0.8058	"MinTEs RTs on
the test set"
10511	0.5	502	0.808	"MinTEs RTs on
the test set"
10512	0.75	502	0.8568	"MinTEs RTs on
the test set"
10513	1	502	0.8461	"MinTEs RTs on
the test set"
10514	Dynamic SR	503	0.825	"MinTEs RTs on
the test set"
10515	0.05	503	0.8324	"MinTEs RTs on
the test set"
10516	0.15	503	0.8467	"MinTEs RTs on
the test set"
10517	0.25	503	0.8093	"MinTEs RTs on
the test set"
10518	0.5	503	0.8514	"MinTEs RTs on
the test set"
10519	0.75	503	0.8152	"MinTEs RTs on
the test set"
10520	1	503	0.8198	"MinTEs RTs on
the test set"
10521	Dynamic SR	504	0.802	"MinTEs RTs on
the test set"
10522	0.05	504	0.7698	"MinTEs RTs on
the test set"
10523	0.15	504	0.7972	"MinTEs RTs on
the test set"
10524	0.25	504	0.8033	"MinTEs RTs on
the test set"
10525	0.5	504	0.7742	"MinTEs RTs on
the test set"
10526	0.75	504	0.8045	"MinTEs RTs on
the test set"
10527	1	504	0.7652	"MinTEs RTs on
the test set"
10528	Dynamic SR	505	0.8097	"MinTEs RTs on
the test set"
10529	0.05	505	0.8062	"MinTEs RTs on
the test set"
10530	0.15	505	0.8407	"MinTEs RTs on
the test set"
10531	0.25	505	0.8382	"MinTEs RTs on
the test set"
10532	0.5	505	0.8146	"MinTEs RTs on
the test set"
10533	0.75	505	0.8477	"MinTEs RTs on
the test set"
10534	1	505	0.8255	"MinTEs RTs on
the test set"
10535	Dynamic SR	506	0.847	"MinTEs RTs on
the test set"
10536	0.05	506	0.8655	"MinTEs RTs on
the test set"
10537	0.15	506	0.8282	"MinTEs RTs on
the test set"
10538	0.25	506	0.8401	"MinTEs RTs on
the test set"
10539	0.5	506	0.7945	"MinTEs RTs on
the test set"
10540	0.75	506	0.8547	"MinTEs RTs on
the test set"
10541	1	506	0.8079	"MinTEs RTs on
the test set"
10542	Dynamic SR	507	0.8305	"MinTEs RTs on
the test set"
10543	0.05	507	0.8144	"MinTEs RTs on
the test set"
10544	0.15	507	0.8213	"MinTEs RTs on
the test set"
10545	0.25	507	0.8168	"MinTEs RTs on
the test set"
10546	0.5	507	0.8038	"MinTEs RTs on
the test set"
10547	0.75	507	0.8466	"MinTEs RTs on
the test set"
10548	1	507	0.7754	"MinTEs RTs on
the test set"
10549	Dynamic SR	508	0.8458	"MinTEs RTs on
the test set"
10550	0.05	508	0.8171	"MinTEs RTs on
the test set"
10551	0.15	508	0.8388	"MinTEs RTs on
the test set"
10552	0.25	508	0.8252	"MinTEs RTs on
the test set"
10553	0.5	508	0.8351	"MinTEs RTs on
the test set"
10554	0.75	508	0.8113	"MinTEs RTs on
the test set"
10555	1	508	0.827	"MinTEs RTs on
the test set"
10556	Dynamic SR	509	0.8335	"MinTEs RTs on
the test set"
10557	0.05	509	0.8386	"MinTEs RTs on
the test set"
10558	0.15	509	0.8397	"MinTEs RTs on
the test set"
10559	0.25	509	0.7882	"MinTEs RTs on
the test set"
10560	0.5	509	0.8318	"MinTEs RTs on
the test set"
10561	0.75	509	0.8031	"MinTEs RTs on
the test set"
10562	1	509	0.8438	"MinTEs RTs on
the test set"
10563	Dynamic SR	510	0.8237	"MinTEs RTs on
the test set"
10564	0.05	510	0.8421	"MinTEs RTs on
the test set"
10565	0.15	510	0.8444	"MinTEs RTs on
the test set"
10566	0.25	510	0.8475	"MinTEs RTs on
the test set"
10567	0.5	510	0.7927	"MinTEs RTs on
the test set"
10568	0.75	510	0.7927	"MinTEs RTs on
the test set"
10569	1	510	0.7924	"MinTEs RTs on
the test set"
10570	Dynamic SR	511	0.8696	"MinTEs RTs on
the test set"
10571	0.05	511	0.8097	"MinTEs RTs on
the test set"
10572	0.15	511	0.8146	"MinTEs RTs on
the test set"
10573	0.25	511	0.8555	"MinTEs RTs on
the test set"
10574	0.5	511	0.8526	"MinTEs RTs on
the test set"
10575	0.75	511	0.8223	"MinTEs RTs on
the test set"
10576	1	511	0.8293	"MinTEs RTs on
the test set"
10577	Dynamic SR	512	0.8036	"MinTEs RTs on
the test set"
10578	0.05	512	0.828	"MinTEs RTs on
the test set"
10579	0.15	512	0.8059	"MinTEs RTs on
the test set"
10580	0.25	512	0.8254	"MinTEs RTs on
the test set"
10581	0.5	512	0.8144	"MinTEs RTs on
the test set"
10582	0.75	512	0.8244	"MinTEs RTs on
the test set"
10583	1	512	0.8132	"MinTEs RTs on
the test set"
10584	Dynamic SR	513	0.8496	"MinTEs RTs on
the test set"
10585	0.05	513	0.8505	"MinTEs RTs on
the test set"
10586	0.15	513	0.8451	"MinTEs RTs on
the test set"
10587	0.25	513	0.811	"MinTEs RTs on
the test set"
10588	0.5	513	0.8203	"MinTEs RTs on
the test set"
10589	0.75	513	0.8451	"MinTEs RTs on
the test set"
10590	1	513	0.8166	"MinTEs RTs on
the test set"
10591	Dynamic SR	514	0.8539	"MinTEs RTs on
the test set"
10592	0.05	514	0.8369	"MinTEs RTs on
the test set"
10593	0.15	514	0.8356	"MinTEs RTs on
the test set"
10594	0.25	514	0.8291	"MinTEs RTs on
the test set"
10595	0.5	514	0.8491	"MinTEs RTs on
the test set"
10596	0.75	514	0.8399	"MinTEs RTs on
the test set"
10597	1	514	0.8351	"MinTEs RTs on
the test set"
10598	Dynamic SR	515	0.8314	"MinTEs RTs on
the test set"
10599	0.05	515	0.8344	"MinTEs RTs on
the test set"
10600	0.15	515	0.8063	"MinTEs RTs on
the test set"
10601	0.25	515	0.8072	"MinTEs RTs on
the test set"
10602	0.5	515	0.8072	"MinTEs RTs on
the test set"
10603	0.75	515	0.8024	"MinTEs RTs on
the test set"
10604	1	515	0.8072	"MinTEs RTs on
the test set"
10605	Dynamic SR	516	0.8489	"MinTEs RTs on
the test set"
10606	0.05	516	0.8365	"MinTEs RTs on
the test set"
10607	0.15	516	0.8395	"MinTEs RTs on
the test set"
10608	0.25	516	0.8265	"MinTEs RTs on
the test set"
10609	0.5	516	0.8113	"MinTEs RTs on
the test set"
10610	0.75	516	0.7896	"MinTEs RTs on
the test set"
10611	1	516	0.8531	"MinTEs RTs on
the test set"
10612	Dynamic SR	517	0.8182	"MinTEs RTs on
the test set"
10613	0.05	517	0.8059	"MinTEs RTs on
the test set"
10614	0.15	517	0.7999	"MinTEs RTs on
the test set"
10615	0.25	517	0.7846	"MinTEs RTs on
the test set"
10616	0.5	517	0.8007	"MinTEs RTs on
the test set"
10617	0.75	517	0.766	"MinTEs RTs on
the test set"
10618	1	517	0.8096	"MinTEs RTs on
the test set"
10619	Dynamic SR	518	0.8517	"MinTEs RTs on
the test set"
10620	0.05	518	0.8439	"MinTEs RTs on
the test set"
10621	0.15	518	0.8374	"MinTEs RTs on
the test set"
10622	0.25	518	0.8479	"MinTEs RTs on
the test set"
10623	0.5	518	0.8363	"MinTEs RTs on
the test set"
10624	0.75	518	0.8236	"MinTEs RTs on
the test set"
10625	1	518	0.8546	"MinTEs RTs on
the test set"
10626	Dynamic SR	519	0.8052	"MinTEs RTs on
the test set"
10627	0.05	519	0.8298	"MinTEs RTs on
the test set"
10628	0.15	519	0.8085	"MinTEs RTs on
the test set"
10629	0.25	519	0.8178	"MinTEs RTs on
the test set"
10630	0.5	519	0.791	"MinTEs RTs on
the test set"
10631	0.75	519	0.7917	"MinTEs RTs on
the test set"
10632	1	519	0.8118	"MinTEs RTs on
the test set"
10633	Dynamic SR	520	0.8282	"MinTEs RTs on
the test set"
10634	0.05	520	0.8281	"MinTEs RTs on
the test set"
10635	0.15	520	0.8409	"MinTEs RTs on
the test set"
10636	0.25	520	0.8013	"MinTEs RTs on
the test set"
10637	0.5	520	0.8381	"MinTEs RTs on
the test set"
10638	0.75	520	0.8503	"MinTEs RTs on
the test set"
10639	1	520	0.7981	"MinTEs RTs on
the test set"
10640	Dynamic SR	521	0.8154	"MinTEs RTs on
the test set"
10641	0.05	521	0.8218	"MinTEs RTs on
the test set"
10642	0.15	521	0.8102	"MinTEs RTs on
the test set"
10643	0.25	521	0.8117	"MinTEs RTs on
the test set"
10644	0.5	521	0.8213	"MinTEs RTs on
the test set"
10645	0.75	521	0.8006	"MinTEs RTs on
the test set"
10646	1	521	0.8272	"MinTEs RTs on
the test set"
10647	Dynamic SR	522	0.8398	"MinTEs RTs on
the test set"
10648	0.05	522	0.8487	"MinTEs RTs on
the test set"
10649	0.15	522	0.853	"MinTEs RTs on
the test set"
10650	0.25	522	0.8679	"MinTEs RTs on
the test set"
10651	0.5	522	0.8389	"MinTEs RTs on
the test set"
10652	0.75	522	0.8495	"MinTEs RTs on
the test set"
10653	1	522	0.7866	"MinTEs RTs on
the test set"
10654	Dynamic SR	523	0.8435	"MinTEs RTs on
the test set"
10655	0.05	523	0.8206	"MinTEs RTs on
the test set"
10656	0.15	523	0.8324	"MinTEs RTs on
the test set"
10657	0.25	523	0.8492	"MinTEs RTs on
the test set"
10658	0.5	523	0.8293	"MinTEs RTs on
the test set"
10659	0.75	523	0.8084	"MinTEs RTs on
the test set"
10660	1	523	0.8358	"MinTEs RTs on
the test set"
10661	Dynamic SR	524	0.8388	"MinTEs RTs on
the test set"
10662	0.05	524	0.817	"MinTEs RTs on
the test set"
10663	0.15	524	0.8035	"MinTEs RTs on
the test set"
10664	0.25	524	0.8332	"MinTEs RTs on
the test set"
10665	0.5	524	0.7994	"MinTEs RTs on
the test set"
10666	0.75	524	0.8537	"MinTEs RTs on
the test set"
10667	1	524	0.8157	"MinTEs RTs on
the test set"
10668	Dynamic SR	525	0.8094	"MinTEs RTs on
the test set"
10669	0.05	525	0.7725	"MinTEs RTs on
the test set"
10670	0.15	525	0.7926	"MinTEs RTs on
the test set"
10671	0.25	525	0.7923	"MinTEs RTs on
the test set"
10672	0.5	525	0.7768	"MinTEs RTs on
the test set"
10673	0.75	525	0.7812	"MinTEs RTs on
the test set"
10674	1	525	0.7655	"MinTEs RTs on
the test set"
10675	Dynamic SR	526	0.8098	"MinTEs RTs on
the test set"
10676	0.05	526	0.832	"MinTEs RTs on
the test set"
10677	0.15	526	0.7838	"MinTEs RTs on
the test set"
10678	0.25	526	0.7984	"MinTEs RTs on
the test set"
10679	0.5	526	0.8222	"MinTEs RTs on
the test set"
10680	0.75	526	0.8405	"MinTEs RTs on
the test set"
10681	1	526	0.8146	"MinTEs RTs on
the test set"
10682	Dynamic SR	527	0.8664	"MinTEs RTs on
the test set"
10683	0.05	527	0.842	"MinTEs RTs on
the test set"
10684	0.15	527	0.8237	"MinTEs RTs on
the test set"
10685	0.25	527	0.8722	"MinTEs RTs on
the test set"
10686	0.5	527	0.8256	"MinTEs RTs on
the test set"
10687	0.75	527	0.8346	"MinTEs RTs on
the test set"
10688	1	527	0.7991	"MinTEs RTs on
the test set"
10689	Dynamic SR	528	0.819	"MinTEs RTs on
the test set"
10690	0.05	528	0.8498	"MinTEs RTs on
the test set"
10691	0.15	528	0.8671	"MinTEs RTs on
the test set"
10692	0.25	528	0.8513	"MinTEs RTs on
the test set"
10693	0.5	528	0.8214	"MinTEs RTs on
the test set"
10694	0.75	528	0.8261	"MinTEs RTs on
the test set"
10695	1	528	0.7773	"MinTEs RTs on
the test set"
10696	Dynamic SR	529	0.8066	"MinTEs RTs on
the test set"
10697	0.05	529	0.8276	"MinTEs RTs on
the test set"
10698	0.15	529	0.81	"MinTEs RTs on
the test set"
10699	0.25	529	0.8001	"MinTEs RTs on
the test set"
10700	0.5	529	0.8225	"MinTEs RTs on
the test set"
10701	0.75	529	0.8063	"MinTEs RTs on
the test set"
10702	1	529	0.8201	"MinTEs RTs on
the test set"
10703	Dynamic SR	530	0.8472	"MinTEs RTs on
the test set"
10704	0.05	530	0.8314	"MinTEs RTs on
the test set"
10705	0.15	530	0.8156	"MinTEs RTs on
the test set"
10706	0.25	530	0.8298	"MinTEs RTs on
the test set"
10707	0.5	530	0.8528	"MinTEs RTs on
the test set"
10708	0.75	530	0.8286	"MinTEs RTs on
the test set"
10709	1	530	0.8286	"MinTEs RTs on
the test set"
10710	Dynamic SR	531	0.8412	"MinTEs RTs on
the test set"
10711	0.05	531	0.8081	"MinTEs RTs on
the test set"
10712	0.15	531	0.8084	"MinTEs RTs on
the test set"
10713	0.25	531	0.8421	"MinTEs RTs on
the test set"
10714	0.5	531	0.844	"MinTEs RTs on
the test set"
10715	0.75	531	0.8644	"MinTEs RTs on
the test set"
10716	1	531	0.8421	"MinTEs RTs on
the test set"
10717	Dynamic SR	532	0.8267	"MinTEs RTs on
the test set"
10718	0.05	532	0.8311	"MinTEs RTs on
the test set"
10719	0.15	532	0.8114	"MinTEs RTs on
the test set"
10720	0.25	532	0.8135	"MinTEs RTs on
the test set"
10721	0.5	532	0.8277	"MinTEs RTs on
the test set"
10722	0.75	532	0.8425	"MinTEs RTs on
the test set"
10723	1	532	0.8356	"MinTEs RTs on
the test set"
10724	Dynamic SR	533	0.83	"MinTEs RTs on
the test set"
10725	0.05	533	0.8242	"MinTEs RTs on
the test set"
10726	0.15	533	0.8136	"MinTEs RTs on
the test set"
10727	0.25	533	0.7998	"MinTEs RTs on
the test set"
10728	0.5	533	0.8258	"MinTEs RTs on
the test set"
10729	0.75	533	0.7871	"MinTEs RTs on
the test set"
10730	1	533	0.7727	"MinTEs RTs on
the test set"
10731	Dynamic SR	534	0.8497	"MinTEs RTs on
the test set"
10732	0.05	534	0.8182	"MinTEs RTs on
the test set"
10733	0.15	534	0.8235	"MinTEs RTs on
the test set"
10734	0.25	534	0.837	"MinTEs RTs on
the test set"
10735	0.5	534	0.8408	"MinTEs RTs on
the test set"
10736	0.75	534	0.8175	"MinTEs RTs on
the test set"
10737	1	534	0.8575	"MinTEs RTs on
the test set"
10738	Dynamic SR	535	0.848	"MinTEs RTs on
the test set"
10739	0.05	535	0.8356	"MinTEs RTs on
the test set"
10740	0.15	535	0.808	"MinTEs RTs on
the test set"
10741	0.25	535	0.8302	"MinTEs RTs on
the test set"
10742	0.5	535	0.8164	"MinTEs RTs on
the test set"
10743	0.75	535	0.8112	"MinTEs RTs on
the test set"
10744	1	535	0.8394	"MinTEs RTs on
the test set"
10745	Dynamic SR	536	0.8373	"MinTEs RTs on
the test set"
10746	0.05	536	0.8013	"MinTEs RTs on
the test set"
10747	0.15	536	0.7806	"MinTEs RTs on
the test set"
10748	0.25	536	0.8003	"MinTEs RTs on
the test set"
10749	0.5	536	0.8369	"MinTEs RTs on
the test set"
10750	0.75	536	0.8039	"MinTEs RTs on
the test set"
10751	1	536	0.8015	"MinTEs RTs on
the test set"
10752	Dynamic SR	537	0.8201	"MinTEs RTs on
the test set"
10753	0.05	537	0.8099	"MinTEs RTs on
the test set"
10754	0.15	537	0.7824	"MinTEs RTs on
the test set"
10755	0.25	537	0.8466	"MinTEs RTs on
the test set"
10756	0.5	537	0.8069	"MinTEs RTs on
the test set"
10757	0.75	537	0.8231	"MinTEs RTs on
the test set"
10758	1	537	0.7912	"MinTEs RTs on
the test set"
10759	Dynamic SR	538	0.85	"MinTEs RTs on
the test set"
10760	0.05	538	0.8641	"MinTEs RTs on
the test set"
10761	0.15	538	0.8384	"MinTEs RTs on
the test set"
10762	0.25	538	0.8554	"MinTEs RTs on
the test set"
10763	0.5	538	0.8161	"MinTEs RTs on
the test set"
10764	0.75	538	0.8794	"MinTEs RTs on
the test set"
10765	1	538	0.8586	"MinTEs RTs on
the test set"
10766	Dynamic SR	539	0.8589	"MinTEs RTs on
the test set"
10767	0.05	539	0.8518	"MinTEs RTs on
the test set"
10768	0.15	539	0.8519	"MinTEs RTs on
the test set"
10769	0.25	539	0.8538	"MinTEs RTs on
the test set"
10770	0.5	539	0.8538	"MinTEs RTs on
the test set"
10771	0.75	539	0.8627	"MinTEs RTs on
the test set"
10772	1	539	0.8083	"MinTEs RTs on
the test set"
10773	Dynamic SR	540	0.8158	"MinTEs RTs on
the test set"
10774	0.05	540	0.8351	"MinTEs RTs on
the test set"
10775	0.15	540	0.8223	"MinTEs RTs on
the test set"
10776	0.25	540	0.837	"MinTEs RTs on
the test set"
10777	0.5	540	0.7954	"MinTEs RTs on
the test set"
10778	0.75	540	0.8097	"MinTEs RTs on
the test set"
10779	1	540	0.8023	"MinTEs RTs on
the test set"
10780	Dynamic SR	541	0.8608	"MinTEs RTs on
the test set"
10781	0.05	541	0.847	"MinTEs RTs on
the test set"
10782	0.15	541	0.8088	"MinTEs RTs on
the test set"
10783	0.25	541	0.7893	"MinTEs RTs on
the test set"
10784	0.5	541	0.8466	"MinTEs RTs on
the test set"
10785	0.75	541	0.834	"MinTEs RTs on
the test set"
10786	1	541	0.8314	"MinTEs RTs on
the test set"
10787	Dynamic SR	542	0.8593	"MinTEs RTs on
the test set"
10788	0.05	542	0.8004	"MinTEs RTs on
the test set"
10789	0.15	542	0.7923	"MinTEs RTs on
the test set"
10790	0.25	542	0.7933	"MinTEs RTs on
the test set"
10791	0.5	542	0.8305	"MinTEs RTs on
the test set"
10792	0.75	542	0.8312	"MinTEs RTs on
the test set"
10793	1	542	0.8064	"MinTEs RTs on
the test set"
10794	Dynamic SR	543	0.81	"MinTEs RTs on
the test set"
10795	0.05	543	0.8516	"MinTEs RTs on
the test set"
10796	0.15	543	0.8158	"MinTEs RTs on
the test set"
10797	0.25	543	0.8235	"MinTEs RTs on
the test set"
10798	0.5	543	0.8025	"MinTEs RTs on
the test set"
10799	0.75	543	0.83	"MinTEs RTs on
the test set"
10800	1	543	0.809	"MinTEs RTs on
the test set"
10801	Dynamic SR	544	0.7885	"MinTEs RTs on
the test set"
10802	0.05	544	0.8085	"MinTEs RTs on
the test set"
10803	0.15	544	0.7778	"MinTEs RTs on
the test set"
10804	0.25	544	0.7818	"MinTEs RTs on
the test set"
10805	0.5	544	0.802	"MinTEs RTs on
the test set"
10806	0.75	544	0.8318	"MinTEs RTs on
the test set"
10807	1	544	0.7962	"MinTEs RTs on
the test set"
10808	Dynamic SR	545	0.8246	"MinTEs RTs on
the test set"
10809	0.05	545	0.8183	"MinTEs RTs on
the test set"
10810	0.15	545	0.7901	"MinTEs RTs on
the test set"
10811	0.25	545	0.8114	"MinTEs RTs on
the test set"
10812	0.5	545	0.8277	"MinTEs RTs on
the test set"
10813	0.75	545	0.8135	"MinTEs RTs on
the test set"
10814	1	545	0.8177	"MinTEs RTs on
the test set"
10815	Dynamic SR	546	0.8192	"MinTEs RTs on
the test set"
10816	0.05	546	0.8111	"MinTEs RTs on
the test set"
10817	0.15	546	0.8302	"MinTEs RTs on
the test set"
10818	0.25	546	0.8156	"MinTEs RTs on
the test set"
10819	0.5	546	0.8457	"MinTEs RTs on
the test set"
10820	0.75	546	0.8457	"MinTEs RTs on
the test set"
10821	1	546	0.8457	"MinTEs RTs on
the test set"
10822	Dynamic SR	547	0.7943	"MinTEs RTs on
the test set"
10823	0.05	547	0.8401	"MinTEs RTs on
the test set"
10824	0.15	547	0.803	"MinTEs RTs on
the test set"
10825	0.25	547	0.838	"MinTEs RTs on
the test set"
10826	0.5	547	0.8402	"MinTEs RTs on
the test set"
10827	0.75	547	0.8137	"MinTEs RTs on
the test set"
10828	1	547	0.8423	"MinTEs RTs on
the test set"
10829	Dynamic SR	548	0.8579	"MinTEs RTs on
the test set"
10830	0.05	548	0.8346	"MinTEs RTs on
the test set"
10831	0.15	548	0.8331	"MinTEs RTs on
the test set"
10832	0.25	548	0.818	"MinTEs RTs on
the test set"
10833	0.5	548	0.8227	"MinTEs RTs on
the test set"
10834	0.75	548	0.8309	"MinTEs RTs on
the test set"
10835	1	548	0.8103	"MinTEs RTs on
the test set"
10836	Dynamic SR	549	0.8434	"MinTEs RTs on
the test set"
10837	0.05	549	0.8199	"MinTEs RTs on
the test set"
10838	0.15	549	0.8183	"MinTEs RTs on
the test set"
10839	0.25	549	0.8487	"MinTEs RTs on
the test set"
10840	0.5	549	0.8191	"MinTEs RTs on
the test set"
10841	0.75	549	0.8279	"MinTEs RTs on
the test set"
10842	1	549	0.8186	"MinTEs RTs on
the test set"
10843	Dynamic SR	550	0.8267	"MinTEs RTs on
the test set"
10844	0.05	550	0.8255	"MinTEs RTs on
the test set"
10845	0.15	550	0.7675	"MinTEs RTs on
the test set"
10846	0.25	550	0.7956	"MinTEs RTs on
the test set"
10847	0.5	550	0.7965	"MinTEs RTs on
the test set"
10848	0.75	550	0.8092	"MinTEs RTs on
the test set"
10849	1	550	0.8175	"MinTEs RTs on
the test set"
10850	Dynamic SR	551	0.8373	"MinTEs RTs on
the test set"
10851	0.05	551	0.8199	"MinTEs RTs on
the test set"
10852	0.15	551	0.8338	"MinTEs RTs on
the test set"
10853	0.25	551	0.824	"MinTEs RTs on
the test set"
10854	0.5	551	0.8215	"MinTEs RTs on
the test set"
10855	0.75	551	0.8497	"MinTEs RTs on
the test set"
10856	1	551	0.8134	"MinTEs RTs on
the test set"
10857	Dynamic SR	552	0.823	"MinTEs RTs on
the test set"
10858	0.05	552	0.8538	"MinTEs RTs on
the test set"
10859	0.15	552	0.8431	"MinTEs RTs on
the test set"
10860	0.25	552	0.8359	"MinTEs RTs on
the test set"
10861	0.5	552	0.856	"MinTEs RTs on
the test set"
10862	0.75	552	0.869	"MinTEs RTs on
the test set"
10863	1	552	0.8394	"MinTEs RTs on
the test set"
10864	Dynamic SR	553	0.8229	"MinTEs RTs on
the test set"
10865	0.05	553	0.7803	"MinTEs RTs on
the test set"
